"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/similarity/Similarity_1d_Stream_Mutated.cypher"
1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.StringToByteArrayConverter",0,1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter",1,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.converter.InputStreamToByteArrayConverter",0,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.converter.InputStreamToByteArrayConverter",0,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.converter.InputStreamToByteArrayConverter",0,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter",1,1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToInputStreamConverter",0,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter",1,1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToStringConverter",0,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter",1,1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.StringToByteArrayConverter",0,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson2.ByteArrayToJsonNodeConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson2.ByteArrayToJsonNodeConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson2.ByteArrayToJsonNodeConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson2.JsonNodeToByteArrayConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson2.JsonNodeToByteArrayConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson2.JsonNodeToByteArrayConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson2.JsonNodeToObjectNodeConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson2.JsonNodeToObjectNodeConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson2.JsonNodeToObjectNodeConverter",1,2,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter",1,2,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter",1,1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToInputStreamConverter",0,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter",1,1,"axon-conversion-5.1.2","org.axonframework.conversion.converter.ByteArrayToStringConverter",0,1,""
1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter",1,1,"axon-conversion-5.1.2","org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter",1,1,""
1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.EventSourcingRepository$EventSourcedEntity",1,1,"axon-modelling-5.1.2","org.axonframework.modelling.repository.SimpleRepository$SimpleEntity",1,1,""
1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.AggregateSequenceNumberPosition",4,2,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.GlobalIndexPosition",4,2,""
1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.EventStoreException",1,1,"axon-common-5.1.2","org.axonframework.common.AxonConfigurationException",25,1,""
