"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: domains/java/queries/method-metrics/Effective_lines_of_method_code_per_type.cypher"
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","EventProcessorInfoUtils",42,17,"describeStreaming",2,"buildSegmentStatus",""
"axon-common-5.1.2","org.axonframework.common.lock","PessimisticLockFactory$DisposableLock",42,17,"lock",10,"lock",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.inmemory","InMemoryEventStorageEngine$MapBackedMessageStream",42,14,"next",5,"next",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation","AnnotatedCommandHandlingComponent",42,10,"<init>",2,"asCommandResultMessage",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.gateway","CommandResult",42,7,"lambda$resultAs$0",6,"rethrowUnwrappedExecutionException",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity","EntityCommandHandlingComponent",41,12,"handle",4,"handle",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","HandlerComparator",41,12,"depthOf",5,"compareHierarchy",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry","AsyncRetryScheduler$RetryTask",41,10,"lambda$run$1",3,"lambda$run$1",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api","AxonServerConfiguration$Builder",40,6,"<init>",1,"clientId",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling","SimpleCommandBus",40,8,"lambda$handle$3",4,"subscribe",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","GenericEventMessage",40,8,"withConvertedPayload",4,"andMetadata",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","SimpleQueryHandlingComponent",40,14,"handle",4,"subscribe",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api","AxonServerConnectionManager",39,10,"<init>",3,"isConnected",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling","GenericCommandMessage",39,8,"withConvertedPayload",2,"withConvertedPayload",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","TokenEntry",39,9,"<init>",4,"mayClaim",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.subscribing","SubscribingEventProcessorConfiguration",39,5,"interceptors",2,"ignoredMessageHandler",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.subscribing","SubscribingEventProcessorsConfigurer",39,5,"<init>",1,"lambda$processor$7",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.interception","InterceptingQueryBus",39,13,"<init>",3,"emitUpdate",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","GenericMessage",39,7,"<init>",6,"payloadAs",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity","PolymorphicEntityMetamodel$Builder",38,13,"addConcreteType",6,"addConcreteType",""
