"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","stronglyConnectedComponentId","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","communityFastRpHdbscanLabel","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_Summary.cypher"
"org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory$MessageParameterResolver","DefaultParameterResolverFactory$MessageParameterResolver",8,"170,170,170",8,"559,13,0,0",,437,0,22,4,57,-1,1,3,""
"org.axonframework.messaging.core.annotation.HierarchicalParameterResolverFactory","HierarchicalParameterResolverFactory",5,"193,319,319",6,"582,61,19,2",,438,0,30,4,20,149,1,3,""
"org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory$AnnotatedMetadataParameterResolver","DefaultParameterResolverFactory$AnnotatedMetadataParameterResolver",8,"170,170,170",8,"559,13,0,0",,439,0,22,5,45,-1,1,4,""
"org.axonframework.messaging.core.ConversionCache","ConversionCache",8,"170,170,170",8,"559,13,0,0",,440,0,28,3,99,150,1,3,""
"org.axonframework.messaging.core.RemoteExceptionDescription","RemoteExceptionDescription",3,"658,821,821",2,"658,18,24,21",,441,0,53,3,37,17,6,1,""
"org.axonframework.messaging.core.annotation.AnnotatedMessageHandlingMemberDefinition","AnnotatedMessageHandlingMemberDefinition",9,"177,429,429",8,"559,13,0,0",,442,0,9,7,69,145,0,8,""
"org.axonframework.messaging.core.annotation.MetadataValue","MetadataValue",8,"170,170,170",8,"559,13,0,0",,443,0,22,1,86,67,1,0,""
"org.axonframework.messaging.core.annotation.MessageHandlerTimeout","MessageHandlerTimeout",5,"326,319,319",8,"571,61,19,2",,444,0,22,1,1,71,0,1,""
"org.axonframework.messaging.core.annotation.HandlerAttributes","HandlerAttributes",9,"585,429,429",8,"599,55,19,2",,445,0,54,2,98,110,3,0,""
"org.axonframework.messaging.core.OnNextMessageStream","OnNextMessageStream",9,"177,429,429",9,"177,0,23,1",,116,0,9,6,82,149,2,5,""
"org.axonframework.messaging.core.ConcatenatingMessageStream","ConcatenatingMessageStream",9,"177,429,429",9,"177,0,23,1",,116,0,9,6,48,-1,1,6,""
