"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"server","@types/api-gateway-proxy",18,25,40,50,13,125,"APIGatewayEventRequestContextV2,APIGatewayProxyResultV2,APIGatewayProxyEventV2,APIGatewayProxyEventV2.requestContext,APIGatewayProxyEventV2.rawQueryString,APIGatewayProxyEventV2.body,APIGatewayEventRequestContextV2.http,APIGatewayProxyEventV2.headers,APIGatewayProxyEventHeaders.host,APIGatewayProxyEventV2.isBase64Encoded,APIGatewayProxyEventV2.rawPath,APIGatewayProxyEventV2.cookies,APIGatewayProxyEventHeaders,APIGatewayProxyStructuredResultV2",""
"server","@types/react",6,22,40,50,13,125,"React.FunctionComponent,React.ComponentClass,React.ReactElement,React.ReactNode,React.createElement,React.Fragment",""
"server","async_hooks",4,4,40,50,13,125,"AsyncLocalStorage.getStore",""
"server","@types/express-serve-static-core",3,3,40,50,13,125,"ParamsDictionary",""
"server","@types/qs",3,3,40,50,13,125,"QueryString.ParsedQs",""
"server","@mjackson/node-fetch-server",2,7,40,50,13,125,"ClientAddress,createRequestListener",""
"server","@types/buffer",2,3,40,50,13,125,"global.BufferConstructor.from,global.Buffer.toString",""
"server","@types/handler",2,2,40,50,13,125,"Context,Callback",""
"server","@types/process",2,2,40,50,13,125,"global.NodeJS.Process.env,global.NodeJS.ProcessEnv.ARC_SANDBOX",""
"server","http",2,2,40,50,13,125,"IncomingHttpHeaders,RequestListener",""
"server","@types/APIGatewayProxyEventHeaders.""content-type",1,1,40,50,13,125,"APIGatewayProxyEventHeaders.""content-type""",""
"server","@types/APIGatewayProxyEventHeaders.""x-forwarded-host",1,1,40,50,13,125,"APIGatewayProxyEventHeaders.""x-forwarded-host""",""
"flatRoutes","@types/path",8,18,13,15,5,115.38461538461539,"path.PlatformPath.join,path.PlatformPath.relative,path.PlatformPath.extname,path.PlatformPath.dirname,path.PlatformPath.posix,path.PlatformPath.win32,path.PlatformPath.sep",""
